job role,skills
Data Analyst,"Python, SQL, Excel, Power BI, Tableau, Pandas, Statistics"
Senior Data Analyst,"Python, SQL, Power BI, Tableau, Statistics, Business Analytics"
Business Analyst,"Excel, SQL, Power BI, Tableau, Business Analytics"
Product Analyst,"SQL, Python, Product Analytics, Statistics, A/B Testing"
Data Scientist,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-Learn"
Senior Data Scientist,"Python, Machine Learning, Deep Learning, Statistics, MLOps"
ML Engineer,"Python, Machine Learning, TensorFlow, PyTorch, Docker, Git"
AI Engineer,"Python, Deep Learning, TensorFlow, PyTorch, Generative AI"
Deep Learning Engineer,"Python, Deep Learning, TensorFlow, PyTorch"
NLP Engineer,"Python, NLP, Transformers, Deep Learning, LLMs"
Computer Vision Engineer,"Python, OpenCV, Deep Learning, Computer Vision"
Data Engineer,"Python, SQL, Spark, Hadoop, ETL, Airflow"
Big Data Engineer,"Spark, Hadoop, Kafka, Scala, Big Data"
Analytics Engineer,"SQL, Data Warehousing, ETL, Python"
Software Engineer,"Python, Java, C++, OOP, DSA, Git, System Design"
Backend Developer,"Python, Django, FastAPI, SQL, REST API"
Frontend Developer,"HTML, CSS, JavaScript, React, Git"
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, MongoDB"
Mobile App Developer,"Java, Android, API Development"
Android Developer,"Java, Android, REST API"
iOS Developer,"Swift, API Development, Git"
API Developer,"Python, FastAPI, REST API, SQL"
Cloud Engineer,"AWS, Azure, GCP, Linux, Docker"
Cloud Architect,"AWS, Azure, GCP, Kubernetes, Cloud Computing"
DevOps Engineer,"Docker, Kubernetes, Linux, CI/CD, Jenkins"
Site Reliability Engineer,"Linux, Docker, Kubernetes, Cloud Computing"
Platform Engineer,"Kubernetes, Docker, Linux, CI/CD"
Cybersecurity Analyst,"Cybersecurity, Network Security, Linux"
Security Engineer,"Cybersecurity, Network Security, Cloud Computing"
SOC Analyst,"Cybersecurity, Linux, Network Security"
Ethical Hacker,"Penetration Testing, Cybersecurity, Linux"
Database Administrator,"SQL, MySQL, PostgreSQL, Database Design"
Database Engineer,"SQL, PostgreSQL, Data Warehousing"
AI Research Engineer,"Python, Deep Learning, Generative AI, LLMs"
Generative AI Engineer,"Python, LLMs, LangChain, RAG, Prompt Engineering"
LLM Engineer,"Python, LLMs, LangChain, RAG"
Prompt Engineer,"Prompt Engineering, LLMs, Generative AI"
MLOps Engineer,"Python, Docker, Kubernetes, MLOps, CI/CD"
Product Manager,"Leadership, Communication, Product Analytics"
Technical Product Manager,"Product Analytics, SQL, Leadership"
Project Manager,"Leadership, Communication, Agile, Scrum"
QA Engineer,"Testing, SQL, Problem Solving"
Automation Test Engineer,"Selenium, Automation Testing, Python"
SDET,"Automation Testing, Selenium, Java, Testing"
BI Developer,"Power BI, SQL, Data Visualization"
Financial Analyst,"Excel, SQL, Financial Analysis, Statistics"
