Resume,Rank,Recommended Job,Match Count,Match Percentage,Matched Skills,Missing Skills
candidate_0001.pdf,1,ML Engineer,3,50.0,"Python, Docker, Git","Machine Learning, TensorFlow, PyTorch"
candidate_0001.pdf,2,Data Analyst,3,42.86,"Python, Excel, Power BI","SQL, Tableau, Pandas, Statistics"
candidate_0001.pdf,3,Software Engineer,3,42.86,"Python, Java, Git","C++, OOP, DSA, System Design"
candidate_0001.pdf,4,Business Analyst,2,40.0,"Excel, Power BI","SQL, Tableau, Business Analytics"
candidate_0001.pdf,5,Frontend Developer,2,40.0,"JavaScript, Git","HTML, CSS, React"
candidate_0002.pdf,1,Data Analyst,3,42.86,"Power BI, Tableau, Pandas","Python, SQL, Excel, Statistics"
candidate_0002.pdf,2,Business Analyst,2,40.0,"Power BI, Tableau","Excel, SQL, Business Analytics"
candidate_0002.pdf,3,Cloud Engineer,2,40.0,"AWS, Docker","Azure, GCP, Linux"
candidate_0002.pdf,4,Senior Data Analyst,2,33.33,"Power BI, Tableau","Python, SQL, Statistics, Business Analytics"
candidate_0002.pdf,5,Mobile App Developer,1,33.33,Java,"Android, API Development"
candidate_0003.pdf,1,BI Developer,2,66.67,"Power BI, SQL",Data Visualization
candidate_0003.pdf,2,Business Analyst,3,60.0,"Excel, SQL, Power BI","Tableau, Business Analytics"
candidate_0003.pdf,3,Site Reliability Engineer,2,50.0,"Linux, Docker","Kubernetes, Cloud Computing"
candidate_0003.pdf,4,Platform Engineer,2,50.0,"Docker, Linux","Kubernetes, CI/CD"
candidate_0003.pdf,5,Financial Analyst,2,50.0,"Excel, SQL","Financial Analysis, Statistics"
candidate_0004.pdf,1,Data Scientist,3,50.0,"Python, Pandas, Machine Learning","NumPy, Statistics, Scikit-Learn"
candidate_0004.pdf,2,ML Engineer,3,50.0,"Python, Machine Learning, Git","TensorFlow, PyTorch, Docker"
candidate_0004.pdf,3,Analytics Engineer,2,50.0,"SQL, Python","Data Warehousing, ETL"
candidate_0004.pdf,4,API Developer,2,50.0,"Python, SQL","FastAPI, REST API"
candidate_0004.pdf,5,Data Analyst,3,42.86,"Python, SQL, Pandas","Excel, Power BI, Tableau, Statistics"
candidate_0005.pdf,1,iOS Developer,1,33.33,Git,"Swift, API Development"
candidate_0005.pdf,2,Database Engineer,1,33.33,SQL,"PostgreSQL, Data Warehousing"
candidate_0005.pdf,3,Technical Product Manager,1,33.33,SQL,"Product Analytics, Leadership"
candidate_0005.pdf,4,QA Engineer,1,33.33,SQL,"Testing, Problem Solving"
candidate_0005.pdf,5,BI Developer,1,33.33,SQL,"Power BI, Data Visualization"
candidate_0006.pdf,1,Data Analyst,4,57.14,"Python, Power BI, Tableau, Pandas","SQL, Excel, Statistics"
candidate_0006.pdf,2,Senior Data Analyst,3,50.0,"Python, Power BI, Tableau","SQL, Statistics, Business Analytics"
candidate_0006.pdf,3,Data Scientist,3,50.0,"Python, Pandas, NumPy","Machine Learning, Statistics, Scikit-Learn"
candidate_0006.pdf,4,Business Analyst,2,40.0,"Power BI, Tableau","Excel, SQL, Business Analytics"
candidate_0006.pdf,5,MLOps Engineer,2,40.0,"Python, Docker","Kubernetes, MLOps, CI/CD"
candidate_0007.pdf,1,BI Developer,2,66.67,"Power BI, SQL",Data Visualization
candidate_0007.pdf,2,Senior Data Analyst,3,50.0,"Python, SQL, Power BI","Tableau, Statistics, Business Analytics"
candidate_0007.pdf,3,Analytics Engineer,2,50.0,"SQL, Python","Data Warehousing, ETL"
candidate_0007.pdf,4,API Developer,2,50.0,"Python, SQL","FastAPI, REST API"
candidate_0007.pdf,5,Data Analyst,3,42.86,"Python, SQL, Power BI","Excel, Tableau, Pandas, Statistics"
